,,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9
2000,1,[],[],[],[],[],[],[],[],[],[]
2000,2,[],[],[],[],[],[],[],[],[],[]
2000,3,[],[],[],[],[],[],[],[],[],[]
2000,4,[],[],[],[],[],[],[],[],[],[]
2000,5,[],[],[],[],[],[],[],[],[],[]
2000,6,[],[],[],[],[],[],[],[],[],[]
2000,7,[],[],[],[],[],[],[],[],[],[]
2000,8,[],[],[],[],[],[],[],[],[],[]
2000,9,[],[],[],[],[],[],[],[],[],[]
2000,10,[],[],[],[],[],[],[],[],[],[]
2000,11,[],[],[],[],[],[],[],[],[],[]
2000,12,[],[],[],[],[],[],[],[],[],[]
2001,1,[],[],[],[],[],[],[],[],[],[]
2001,2,[],[],[],[],[],[],[],[],[],[]
2001,3,[],[],[],[],[],[],[],[],[],[]
2001,4,[],[],[],[],[],[],[],[],[],[]
2001,5,[],[],[],[],[],[],[],[],[],[]
2001,6,[],[],[],[],[],[],[],[],[],[]
2001,7,[],[],[],[],[],[],[],[],[],[]
2001,8,[],[],[],[],[],[],[],[],[],[]
2001,9,[],[],[],[],[],[],[],[],[],[]
2001,10,[],[],[],[],[],[],[],[],[],[]
2001,11,[],[],[],[],[],[],[],[],[],[]
2001,12,[],[],[],[],[],[],[],[],[],[]
2002,1,[],[],[],[],[],[],[],[],[],[]
2002,2,[],[],[],[],[],[],[],[],[],[]
2002,3,[],[],[],[],[],[],[],[],[],[]
2002,4,[],[],[],[],[],[],[],[],[],[]
2002,5,[],[],[],[],[],[],[],[],[],[]
2002,6,[],[],[],[],[],[],[],[],[],[]
2002,7,[],[],[],[],[],[],[],[],[],[]
2002,8,[],[],[],[],[],[],[],[],[],[]
2002,9,[],[],[],[],[],[],[],[],[],[]
2002,10,[],[],[],[],[],[],[],[],[],[]
2002,11,[],[],[],[],[],[],[],[],[],[]
2002,12,[],[],[],[],[],[],[],[],[],[]
2003,1,['POLY.TA' 'ADGR.TA' 'CTPL5.TA' 'TDRN.TA' 'GZT.TA' 'EMDV.TA' 'ZUR.TA'],['KAFR.TA' 'LUDN.TA' 'BIRM.TA' 'AYAL.TA' 'CDEV.TA' 'ROBO.TA' 'FRSX.TA'],['ELDAV.TA' 'MLTM.TA' 'PLCR.TA' 'AICS.TA' 'SRAC.TA' 'RAVD.TA' 'SHOM.TA'],['ASHO.TA' 'ISCN.TA' 'AMAN.TA' 'RSEL.TA' 'RPAC.TA' 'ORBI.TA' 'CMER.TA'],['AURA.TA' 'TREN.TA' 'EMCO.TA' 'NAWI.TA' 'SFET.TA' 'TEDE.TA' 'SMNIN.TA'],['CMDR.TA' 'YBOX.TA' 'ENLT.TA' 'TUZA.TA' 'NISA.TA' 'PAYT.TA' 'ANLT.TA'],['PRTC.TA' 'IES.TA' 'CFX.TA' 'MNRV.TA' 'AVRT.TA' 'TAYA.TA' 'ONE.TA'],['IBI.TA' 'MTRX.TA' 'TLSY.TA' 'ASGR.TA' 'MTDS.TA' 'HOD.TA' 'GSFI.TA'],['PLRM.TA' 'RLCO.TA' 'KRUR.TA' 'EXPO.TA' 'KLIL.TA' 'WSMK.TA' 'BRIL.TA'],['SEMG.TA']
2003,2,['POLY.TA' 'ADGR.TA' 'CTPL5.TA' 'GZT.TA' 'TDRN.TA' 'EMDV.TA' 'ZUR.TA'],['KAFR.TA' 'BIRM.TA' 'CDEV.TA' 'LUDN.TA' 'AYAL.TA' 'ROBO.TA' 'FRSX.TA'],['ELDAV.TA' 'MLTM.TA' 'PLCR.TA' 'SRAC.TA' 'AICS.TA' 'RAVD.TA' 'SHOM.TA'],['AMAN.TA' 'ASHO.TA' 'RPAC.TA' 'ORBI.TA' 'RSEL.TA' 'CMER.TA' 'TREN.TA'],['EMCO.TA' 'NAWI.TA' 'AURA.TA' 'SFET.TA' 'ISCN.TA' 'TEDE.TA' 'SMNIN.TA'],['CMDR.TA' 'YBOX.TA' 'ENLT.TA' 'TUZA.TA' 'NISA.TA' 'PAYT.TA' 'ANLT.TA'],['PRTC.TA' 'IES.TA' 'CFX.TA' 'MNRV.TA' 'AVRT.TA' 'TAYA.TA' 'ONE.TA'],['IBI.TA' 'MTRX.TA' 'TLSY.TA' 'ASGR.TA' 'MTDS.TA' 'HOD.TA' 'GSFI.TA'],['PLRM.TA' 'RLCO.TA' 'KRUR.TA' 'EXPO.TA' 'KLIL.TA' 'WSMK.TA' 'BRIL.TA'],['SEMG.TA']
