,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9
2000_1,,,,,,,,,,
2000_2,,,,,,,,,,
2000_3,,,,,,,,,,
2000_4,,,,,,,,,,
2000_5,,,,,,,,,,
2000_6,,,,,,,,,,
2000_7,,,,,,,,,,
2000_8,,,,,,,,,,
2000_9,,,,,,,,,,
2000_10,,,,,,,,,,
2000_11,,,,,,,,,,
2000_12,,,,,,,,,,
2001_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001_3,0.0,0.0,0.0,0.0,0.0,0.0,0.007344296230240196,0.0,0.0,0.0
2001_4,0.0,0.00020585921262743817,0.0,0.0,0.0,0.0,0.0,0.005390841492160022,0.0,0.0
2001_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0017395071233878845,0.0,0.010833491527330744,0.0
2001_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001_9,0.0,7.710419875518935e-05,0.003151422039870796,0.0,0.0,0.0,0.007178244751823889,0.0,0.010833492164708783,0.0
2001_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003973789330356192,0.0
2001_12,0.01597902327027778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017417186594877693,0.0
2002_1,0.0,0.0,0.0,0.019719368248568063,0.0,0.0,0.0,0.0,0.0,0.0
2002_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00591521976989462,0.0
2002_4,8.995753924108858e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00029008307311365983,0.0,0.0
2002_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037273803684713482,0.0,0.0
2002_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004608024822066538,0.0
2002_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.47262945881247864
2002_8,-0.006662922519326153,0.021464839488053174,9.115326011923113,15.606793012153943,13.305421090619054,8.705035406017993,15.316790045879182,15.149903486402918,553.7797234286858,114253.32308782187
2002_9,-0.0016377017303123576,-0.026737624025200635,-0.14601334792538587,-0.019513726393047222,-0.035863746995965264,-0.0758119775153514,-0.07046172752306994,-0.059999884764197854,-0.06603373908740182,0.034754542808163626
2002_10,0.007383026729551545,-0.042430875109147795,-0.09374044568128491,-0.05256517302935899,-0.12482193167927483,-0.06717649556516468,-0.012011079860462745,-0.02570485674811234,-0.10653480590927465,-0.054997377240863586
2002_11,-0.0128270132657994,0.09105130587506759,0.05679316298672451,0.029428064505292246,0.02778181203319739,0.07436472649869633,0.027867896983779925,-0.00940818666359487,0.13405096498557592,0.0970303955286087
2002_12,0.012796201838703466,-0.024846850476808253,-0.03179958181543063,0.024255047828547815,-0.05095022321402335,-0.05401641538545051,0.028491511971909023,-0.1047034242816537,-0.09280784794065296,0.10094308048725165
2003_1,0.01972408987894562,0.03138552233717949,-0.009659017756058439,-0.022041404795324498,-0.08319217450376197,-0.060167842872898065,-0.02703733191487569,-0.0035288366961165885,0.10632365069494445,-0.01652752426642512
2003_2,0.0510492401666807,-0.035703820883266006,-0.00591581761371491,0.008463935256817323,-0.028328891809237217,0.059289822836461004,0.021164706431732534,0.032896875031068876,-0.03678270074728104,-0.05326739781113898
2003_3,0.01596364972864302,0.06080317099779353,0.0355449788493977,0.09954246211968958,0.003031819894273221,0.0793120726979261,0.2332368041332896,0.02950915305183718,0.05583334805667802,0.058823485209106664
2003_4,-0.0003371460141680475,0.10609074977098117,0.05933225520108657,0.1504795889519596,0.16712581340065324,0.19655885064252057,0.13289254629999311,0.11198822670125705,0.07679301335804722,0.00796299435777518
2003_5,0.039449246219175005,0.11128154633715522,-0.021163923275717558,0.08726164952466316,0.07923595009450461,0.1288943220052001,0.19170851970004074,0.08442285064529877,0.17329313471185603,-0.0023512655375745872
2003_6,0.032196409252380855,0.02848136784869239,0.009141419838017575,0.14065126096626598,0.01696028869065062,-0.007670875041977022,0.037166318963239776,0.15845466904814787,0.02562526140859151,0.050795626485987365
2003_7,-0.020013904347841633,0.02415599144410804,-0.06739783012944321,-0.05622720996551358,-0.054899202679824066,-0.09157324183400847,-0.05844444733241706,-0.03943223742409807,-0.05169985770464991,-0.0317805460626525
2003_8,-0.010736482664391346,-0.0005226641366462867,-0.024064198031503933,-0.01389827852259049,0.007323307115651977,0.0186233716960877,-0.027527695171133477,0.06219264195500101,0.014833692895587483,-0.021041197523117505
2003_9,-0.002282467604995643,0.018110386607998616,0.03753933792759806,0.021389257595554777,0.03143674550747679,0.03990132238792242,-0.0020215584904737616,0.07513154630436618,0.03310531530485736,11.78874433929411
