,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9
2000_1,,,,,,,,,,
2000_2,,,,,,,,,,
2000_3,,,,,,,,,,
2000_4,,,,,,,,,,
2000_5,,,,,,,,,,
2000_6,,,,,,,,,,
2000_7,,,,,,,,,,
2000_8,,,,,,,,,,
2000_9,,,,,,,,,,
2000_10,,,,,,,,,,
2000_11,,,,,,,,,,
2000_12,,,,,,,,,,
2001_1,,,,,,,,,,
2001_2,,,,,,,,,,
2001_3,,,,,,,,,,
2001_4,,,,,,,,,,
2001_5,,,,,,,,,,
2001_6,,,,,,,,,,
2001_7,,,,,,,,,,
2001_8,,,,,,,,,,
2001_9,,,,,,,,,,
2001_10,,,,,,,,,,
2001_11,,,,,,,,,,
2001_12,,,,,,,,,,
2002_1,,,,,,,,,,
2002_2,,,,,,,,,,
2002_3,,,,,,,,,,
2002_4,,,,,,,,,,
2002_5,,,,,,,,,,
2002_6,,,,,,,,,,
2002_7,,,,,,,,,,
2002_8,,,,,,,,,,
2002_9,,,,,,,,,,
2002_10,,,,,,,,,,
2002_11,,,,,,,,,,
2002_12,,,,,,,,,,
2003_1,0.025997263060465077,0.014577740436732338,-0.021059540576201036,-0.05965943213435702,-0.04499701044827801,-0.03658913435669026,-0.029738184300721424,0.07851376936717439,0.026885094187433758,0.0
2003_2,0.04131450756944209,-0.04645535293884208,-0.02630050385876115,0.02978790035559951,0.03740345999767504,0.04616004394598786,-0.02538790161615669,0.008290036887179506,-0.02971983894521124,0.0
2003_3,0.010360869202624245,0.07702805663253066,0.06958355765786134,0.05995868385130979,0.1045082461696976,0.16266572672771715,0.015071212039264394,0.07847130591299711,0.053346384413036456,0.0
2003_4,0.025861955478558567,0.08121531106491882,0.15424645960464367,0.09957332922355319,0.16065253729909051,0.11464829659572902,0.2865369614740977,0.047464437888614576,0.010848493445913654,0.0
2003_5,0.04781922809047529,0.07101526743426152,0.001602973004668921,0.14182897822138285,0.06113115209523201,0.1211231958936551,0.22439279367729634,0.13137257198145014,0.043897468499982786,0.0
2003_6,0.011251278888888232,0.035297859057844626,-0.003318067636102965,0.08095147393795872,0.05017071753134948,0.05806122194797503,0.01492811488874078,0.08307577448815036,0.1293163155577957,0.0
2003_7,-0.025161912098941697,0.013226272160405792,-0.03772721678327212,-0.043163515295377,-0.022651733160572722,-0.12025539570161271,-0.03970367419658279,-0.06479151425257897,-0.07448981811310307,-0.034146333925044514
2003_8,-0.035170517058136994,0.020750800258558737,-0.06997930028981107,0.0058508679322945645,-0.053621497503815556,-0.05463103373450641,-0.05237860659152817,-0.00017390789117131624,-0.030850961169937654,0.257575709090909
2003_9,0.02296033795097339,9.103181738420332e-05,0.04323252549564155,0.004472254489098477,0.053608597353731705,0.04398020188322988,0.022442259879234223,-0.01782794150600464,0.038428354774517684,-0.036144521875451474
2003_10,0.08116585618259393,0.033465024400334754,0.011610589575940874,0.2650890218937422,0.06959234112106127,0.17093320431982298,0.16801494537960512,0.16191958577851265,0.10347786288357039,0.0
2003_11,0.03336565884696986,0.06461345843834539,0.16649290880054293,0.07280173194874938,0.08856878321263602,0.18014233177298866,0.13481682863212055,-0.03915139661926798,-0.04111289304340439,0.0
2003_12,0.03872972383551497,0.028402386268511468,0.09760805197202657,0.13049039079747946,0.05985018964896249,0.08244473348795535,0.023182232703689163,0.07337705890980319,0.05885657654836962,0.12499997750000036
2004_1,0.04659684105822521,0.06481906689644232,0.19092182737809613,0.18355686678860647,0.11259598693950809,0.12708154254807086,0.32954829925105045,0.13010559575093167,0.13063288060045683,0.22851850666666662
2004_2,0.021314848473975658,0.0334042861370037,0.2558838387557991,0.0032330742777453105,0.3616037714238754,-0.07206207400009161,0.03338277536055826,0.051576150086056635,0.1285817567769756,-0.24630685796859197
2004_3,0.004909250521750571,0.02519648958354478,0.03983771368333343,0.036588326509883896,-0.016853867588909006,0.14688073738873153,0.061418151094125725,0.005107652584692669,0.0803071027397789,0.0
2004_4,-0.014701298365613482,0.015016043390966516,-0.010494075873776916,-0.024976407665277367,0.1452578580297697,0.11142999255319996,0.024339669775555257,0.008870001864892127,0.0655066698946155,-0.2080000405503979
2004_5,-0.01788268936088217,0.025186387314393027,-0.036292888111880174,0.017135771791363236,-0.009853011742093616,-0.027408319958987404,-0.017412731677426203,0.03444403241395998,0.008913462415305218,0.0
2004_6,0.016142553324420304,0.035953250946255726,-0.0843862055991487,0.04654980961385561,-0.04301237684548847,0.06672994026923802,0.08468091757469931,1.7875748965623557,0.1107186810314706,-0.00505047272727277
2004_7,-0.014742876913008018,-0.013558140205503675,-0.03984713297882906,-0.04331099673955361,-0.04718496260375783,0.02283812627362341,-0.052100964840756804,-0.04539987781856657,-0.00029250620349717337,-0.07715739038676495
2004_8,-0.02501110776097645,-0.10314328592420083,-0.006570245038701882,-0.03349628736124068,-0.09747657969584213,-0.0453433221041044,-0.10643841853359308,-0.030056405020319445,-0.09825146088867362,0.0
2004_9,-0.007617191745365126,-0.029559748973637095,0.028958628809481,-0.030922014482689626,0.02502499441481809,-0.03058100292046484,0.03173860828872136,0.05386993209777778,-0.003557712641666536,0.0
