,0
CRSO close price,446
VCTR close price,448
ENRG close price,451
LPSN close price,459
MDVI close price,461
ICCM close price,464
PSTI close price,471
ILDR close price,471
ALLT close price,471
ECP close price,473
BCNV close price,473
CNMD close price,483
PLX close price,486
EFNC close price,491
AZRG close price,499
LVPR close price,501
KARE close price,510
DCMA close price,513
ALGS close price,516
UNVO close price,541
MDPR close price,551
HMAM close price,580
EMTC close price,581
EDRL close price,590
GAON close price,606
SLARL close price,615
PNAX close price,622
PERI close price,631
BCOM close price,633
INCR close price,645
CEL close price,652
EVGN close price,654
CBI close price,655
ORAD close price,655
NTML close price,655
MSHR close price,655
MGOR close price,655
MSBI close price,655
RMLI close price,656
ZMH close price,656
RVL close price,657
DNA close price,657
ORIN close price,660
ITMR close price,667
FRDN close price,668
PRSK close price,669
ORL close price,670
BLRX close price,671
ALMD close price,672
ENDY close price,672
AVGL close price,675
BWAY close price,678
BYSD close price,679
MCRNT close price,681
PZOL close price,682
SPRG close price,690
RIT1 close price,691
CNZN close price,694
SNFL close price,695
BLSR close price,696
AFRE close price,703
CPTP close price,705
AMOT close price,707
BIG close price,707
ICB close price,707
PMCN close price,711
DRSL close price,715
GOLF close price,720
ATRY close price,721
BIOV close price,721
NXTM close price,722
ARPT close price,723
GNGR close price,723
HDST close price,727
BOLT close price,730
CAMT close price,732
OPAL close price,732
BRAM close price,742
CANF close price,742
MYSZ close price,745
BRMG close price,746
KMDA close price,747
ELCRE close price,749
DRAL close price,760
PPIL close price,764
DIMRI close price,765
PRGO close price,772
SCC close price,773
AMRK close price,775
GLPL close price,779
PCBT close price,785
ARD close price,786
AFPR close price,794
MTRN close price,802
RMN close price,804
ELSPC close price,806
SPNTC close price,807
SALG close price,812
UNIT close price,814
AFHL close price,817
GILT close price,827
ADGR close price,830
UNCR close price,833
SEMG close price,846
VISN close price,852
CTPL5 close price,855
LHIS close price,862
ELAL close price,864
SPNS close price,878
MTDS close price,880
GLTC close price,881
WTS close price,884
BOTI close price,885
STG close price,892
MNGN close price,901
ELDAV close price,903
CHAM close price,904
YBOX close price,905
AVRT close price,905
ROBO close price,910
CISY close price,910
IMCO close price,913
CSURE close price,914
CRMT close price,915
INTR close price,915
NVMI close price,915
MYDS close price,916
INBR close price,919
TNPV close price,919
NXGN close price,920
FOX close price,922
APLP close price,923
AVIA close price,926
INTL close price,926
LZNR close price,926
STCM close price,927
NFTA close price,927
LODZ close price,927
ISRO close price,927
LEOF close price,927
BRIL close price,928
AVLN close price,928
AZRM close price,928
TOPS close price,928
ASGR close price,928
ROTS close price,929
ARNA close price,929
AURA close price,929
RSEL close price,929
ASHO close price,929
CFX close price,929
WSMK close price,929
TEVA close price,929
SHOM close price,929
ALD close price,929
KAFR close price,930
QLTU close price,930
BRND close price,930
RLCO close price,930
PTCH close price,930
SHAN close price,930
SNCM close price,930
MLSR close price,930
KNFM close price,930
HARL close price,930
STRS close price,930
TSEM close price,930
NICE close price,930
NAWI close price,930
EMDV close price,930
EQTL close price,930
PTBL close price,930
MRHL close price,930
SFET close price,930
AVIV close price,930
ENLT close price,930
DSCT close price,930
ININ close price,930
DANH close price,930
BONS close price,930
GZT close price,930
QNCO close price,930
ARAN close price,930
IBI close price,930
PRTC close price,931
PLCR close price,931
EXPO close price,931
ALBA close price,931
PEN close price,931
GAGR close price,931
RPAC close price,931
CAST close price,931
TAYA close price,931
REKA close price,931
NSTR close price,931
LUDN close price,931
ISCN close price,931
ONE close price,931
ANGL close price,931
SNEL close price,931
GOLD close price,931
HRON close price,931
ICL close price,931
SKBN close price,931
DLEA close price,931
TGTR close price,931
DISI close price,931
AMAN close price,931
ORTC close price,931
ZUR close price,931
AUDC close price,931
DLEKG close price,931
TUZA close price,931
ISRS close price,931
PLSN close price,931
IES close price,931
DELT close price,931
BSEN close price,931
MISH close price,931
TEDE close price,931
NTO close price,931
MGDL close price,931
AVER close price,931
PAYT close price,931
CMDR close price,931
MGIC close price,931
HAMAT close price,931
FBRT close price,931
ARAD close price,931
LUZN close price,931
ESLT close price,931
HAP close price,931
LAPD close price,931
SANO1 close price,931
EMCO close price,931
CDEV close price,931
MLTM close price,931
DANE close price,931
CLIS close price,931
RIMO close price,931
LEVI close price,931
MNRV close price,931
AICS close price,931
BEZQ close price,931
MEDN close price,931
PTNR close price,931
POLI close price,931
SRAC close price,931
WLFD close price,931
PIU close price,931
JBNK close price,931
ANLT close price,931
AYAL close price,931
BRAN close price,931
ALHE close price,931
MTRX close price,931
KRUR close price,931
ELTR close price,931
MMHD close price,931
POLY close price,931
GOHO close price,931
FORTY close price,931
TLSY close price,931
TTAM close price,931
NISA close price,931
GSFI close price,931
SRFT close price,931
ELCO close price,931
PLRM close price,931
ELRN close price,931
HLAN close price,931
ELWS close price,931
KLIL close price,931
LUMI close price,931
ILX close price,931
HGG close price,931
DUNI close price,931
LAHAV close price,931
FIBI close price,931
VILR close price,931
FRSX close price,931
ISTA close price,931
BIRM close price,931
ORBI close price,931
ALRPR close price,931
SMNIN close price,931
MZTF close price,931
TREN close price,931
ILCO close price,931
SMT close price,931
RAVD close price,931
INFR close price,931
MMAN close price,931
LBTL close price,931
TDRN close price,931
CGEN close price,931
SAE close price,931
HOD close price,931
CMER close price,931
ILDC close price,931
NTGR close price,931
