,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9
2002_1,,,,,,,,,,
2002_2,,,,,,,,,,
2002_3,,,,,,,,,,
2002_4,,,,,,,,,,
2002_5,,,,,,,,,,
2002_6,,,,,,,,,,
2002_7,,,,,,,,,,
2002_8,,,,,,,,,,
2002_9,,,,,,,,,,
2002_10,,,,,,,,,,
2002_11,,,,,,,,,,
2002_12,,,,,,,,,,
2003_1,0.008035958,-0.017422865,-0.026893601,-0.014200027,0.011050346,-0.009135869,-0.014377561,0.025577667,-0.028452734,0.023160238
2003_2,-0.052452259,0.005153164,-0.008019114,-0.000937272,-0.006869867,-0.013108829,-0.049721941,-0.011054304,0.006626175,-0.025368607
2003_3,0.00546892,0.067646454,0.047405325,0.031606544,-0.027383349,0.010846327,0.052203667,0.053868522,0.118875672,0.01188643
2003_4,0.015719016,0.042136197,0.085540007,0.030588638,0.070802395,0.115912524,0.10896831,0.119985401,0.098054112,0.050839768
2003_5,-0.01525059,0.050150498,0.05653792,0.093450842,0.085007955,0.155717587,0.100042448,0.174604258,0.045051899,0.004504428
2003_6,-0.044145206,0.02058144,0.126053897,0.073430217,0.019427252,0.064782601,0.141454916,0.039598344,0.044661418,0.029239608
2003_7,-0.060806544,-0.054306395,-0.072210965,-0.046692519,-0.037299836,-0.083432241,0.002283484,-0.051672145,-0.09854281,-0.058191659
2003_8,-0.058987147,-0.053150144,-0.02764688,0.000553621,-0.01374042,-0.059028646,0.035235628,0.006891136,-0.005475033,0.004844828
2003_9,0.02180575,0.000448164,0.012024215,0.037179141,-0.021177606,-0.018845838,0.013196371,0.046023867,0.016258705,-0.063976119
2003_10,0.029888956,0.094840955,0.006118895,0.058236822,0.097241778,0.050636128,0.07423215,0.072900628,0.077106785,0.097711222
2003_11,0.09968199,0.070342724,0.004061106,0.0729802,0.071451007,0.070063432,0.068658015,-0.006874553,0.032341073,0.060711248
2003_12,-0.027380426,0.030183396,0.006783119,0.054353721,-0.016262819,-0.007873593,0.028143957,0.057191787,0.056510441,0.030750433
2004_1,-0.001139091,0.135234806,0.057999947,0.081319066,0.087714912,0.113512102,0.182881328,0.073490335,0.102518027,0.05019871
2004_2,0.023405626,0.002460132,0.048697823,0.06418211,0.085433372,-0.081125985,-0.018162067,0.081904438,0.012790405,-0.301065362
2004_3,0.037744888,0.034068356,0.1061798,0.046082945,-0.022984443,0.004643904,0.085571284,-0.01857113,-0.027904454,0.05561733
2004_4,0.049313482,0.086634268,0.044136295,0.070691784,0.079650388,0.029917968,0.060064081,0.054182033,0.031264713,0.033429698
2004_5,-0.014641574,-0.036916286,-0.028346403,-0.012456162,-0.028187889,-0.03037232,-0.055998033,-0.039008642,-0.010919369,-0.037939909
2004_6,-0.006474995,0.021216922,0.02737899,0.040781868,0.018506451,0.034537061,0.062293073,0.020117386,-0.05041995,0.071335135
2004_7,-0.025351446,-0.052397322,-0.034583664,0.007062396,-0.02884678,-0.053370213,-0.025579585,-0.065716538,-0.067737543,-0.067117324
2004_8,-0.062447636,-0.040857267,-0.056372403,-0.03979183,-0.025694101,-0.067430104,-0.074849673,-0.031911178,-0.047213188,-0.068715299
2004_9,-0.006545367,0.006054012,-0.020257087,0.030045903,-0.018054142,-0.014153485,-0.005260874,-0.008343529,0.006410723,0.000251914
2004_10,-0.026122114,-0.031671928,-0.045034042,-0.021922106,-0.021162015,-0.041154148,-0.017265705,-0.040560685,-0.008916732,-0.051707233
2004_11,0.047670229,0.018330943,0.067544736,0.040461393,0.001082962,0.006904586,0.058881298,0.067765502,0.039271421,-0.018268355
2004_12,0.009816444,0.01595479,-0.024631598,0.014022712,0.015458332,0.056765398,0.00433585,0.053043012,0.00476455,0.167866039
2005_1,0.103071924,0.207732483,0.150059494,0.140200633,0.175979418,0.164404182,0.134618618,0.115894272,0.101916599,0.094339644
2005_2,-0.042933593,0.061629371,0.078654697,0.017894303,0.010932467,0.046970701,0.021656614,0.028793006,0.041402161,0.007782128
2005_3,0.066424693,0.033169159,0.03799978,0.036586665,0.061602359,-0.026132691,0.027780746,-0.038899728,-0.112534311,-0.00343091
2005_4,0.04291991,-0.02120754,0.013212816,-0.005171496,0.002704378,0.07230613,0.041084258,0.00010884,0.043710472,-0.010380003
2005_5,-0.067822536,0.005370536,-0.049555844,-0.069250093,-0.059226474,0.020938508,-0.083729663,-0.014587404,-0.084339043,0.026867799
2005_6,-0.091229458,-0.103606535,-0.098593873,-0.103137691,-0.10705841,-0.094853212,-0.070225054,-0.070721613,-0.12243377,-0.08252263
2005_7,0.0933881,-0.007849753,0.053590594,0.024852719,0.05090271,0.040271862,0.074172414,0.075353456,0.092105214,0.054777779
2005_8,0.084256512,0.050674727,-0.011017547,0.014745456,-0.009612933,-0.009844293,-0.021782405,-0.003051813,0.135847273,-0.002787466
2005_9,0.056430016,0.002556959,0.063253027,0.017010525,0.02100878,0.025627867,-0.10183477,0.001395674,0.020864285,0.063566726
2005_10,-0.010054654,0.024025315,0.018343705,-0.008792026,-0.010853573,-0.008270423,0.024450279,0.032670039,0.005405077,0.011599965
2005_11,0.017891057,0.26269528,-0.011683963,0.051233139,0.029084056,-0.00438017,0.000722381,0.008658167,-0.030975986,0.020867571
2005_12,-0.064190522,-0.002041925,-0.070149208,0.005267951,0.040755885,0.029034405,0.036528568,-0.004568199,-0.066195094,-0.008102984
2006_1,0.127980599,0.040942591,0.128461088,0.131912327,0.015264709,0.110079011,0.125740074,0.034054696,0.109892322,0.156834625
2006_2,0.051664772,-0.011877155,-0.000693076,-0.015484693,-0.023266708,-0.02190502,-0.020210168,0.021954646,0.002529923,0.000766409
2006_3,0.025908102,-0.024118612,0.009484373,0.002431615,0.018909464,0.006541987,0.044221542,0.020262792,0.011800045,0.008992048
2006_4,0.037782114,0.07861576,0.041305122,0.038114237,0.05607749,0.087266619,0.077601635,0.049283459,0.112142643,0.089817676
2006_5,-0.026255111,0.007710441,0.021896944,0.011896651,-0.065243121,0.026774811,0.018862157,-0.021647041,0.00868822,0.015153381
2006_6,-0.041755468,-0.086390071,-0.051439951,-0.045576018,-0.053183234,-0.087736316,-0.06274919,-0.080041435,-0.071910568,-0.058760625
2006_7,0.002974279,0.000340598,-0.021171484,0.019022456,0.016342475,0.042702608,-0.003283685,0.010371374,0.059438801,0.022588607
2006_8,-0.038091564,-0.041207093,-0.021353769,-0.017930555,-0.029101956,-0.004726315,0.015102445,-0.011644894,-0.022191452,-0.001788128
2006_9,0.013849585,-0.00415541,0.011746028,0.000236157,0.032457097,0.037647859,0.029411409,0.007583972,-0.023969722,-0.071294119
2006_10,0.034338512,0.0751092,0.108124084,0.119354819,0.055677296,0.038712575,0.054169752,0.045949942,0.142119703,0.066325955
2006_11,0.082117699,0.035153803,0.044450158,0.048118344,0.059913044,0.037972539,0.062479575,0.009303322,0.112005125,0.121030765
2006_12,-0.02641185,0.018379213,0.01200773,0.025440061,0.016156893,0.006104839,0.001876536,-0.062955331,-0.008653636,0.047847648
2007_1,0.076051255,0.051019168,0.045978274,0.050514504,0.014697479,0.044858001,0.008589964,0.106442119,0.043909836,0.025557046
2007_2,0.052022802,0.037704812,0.007846035,0.020593108,0.060969969,0.029851298,-0.001760894,0.006646548,0.027976121,0.011856709
2007_3,0.021527667,0.010499455,-0.012900826,0.028194766,0.02086079,0.023556987,0.030516441,0.078391809,0.003693409,0.01565756
2007_4,0.076075857,0.096697292,0.040196281,0.082686321,0.056137878,0.070460546,0.064139959,0.054643989,0.088085994,0.086414156
2007_5,0.006995575,-0.012139899,0.01044414,0.039952093,0.03558862,-0.007204798,0.015210471,0.010659314,0.001163278,0.047381509
2007_6,-0.010024687,-0.005304588,-0.024830605,0.008367699,-0.015173443,-0.011388815,-0.021508134,-0.036536938,-0.015943245,-0.015726364
2007_7,-0.022661391,-0.047276234,-0.029053857,-0.045319208,-0.028288083,-0.026671846,-0.016288527,-0.056374313,-0.070323104,-0.041040845
2007_8,-0.078413709,-0.091436262,-0.025210975,-0.073349589,-0.059438604,-0.064288001,-0.044192329,-0.054673413,-0.040700383,-0.083423347
2007_9,0.012917654,0.004272909,-0.025713908,-0.021831301,0.013006489,0.037061996,0.048810586,0.044297148,-0.006554954,0.001370094
2007_10,0.012270362,-0.027812625,0.030102341,0.019086318,0.002063415,0.028824837,-0.002666527,0.035502553,0.019866277,0.034553766
2007_11,-0.014354654,-0.090306686,-0.029320973,-0.063882026,-0.056666536,-0.090957213,-0.086828278,-0.073049954,-0.092420337,-0.052151966
2007_12,-0.033932894,-0.067034038,0.030158525,-0.120656096,-0.028030526,-0.052631278,-0.07630039,-0.01247848,-0.024429256,-0.014628551
2008_1,-0.104015854,-0.14375146,-0.098081083,-0.113804409,-0.094507782,-0.097168309,-0.157020822,-0.101853155,-0.170467118,-0.174040925
2008_2,-0.00088783,-0.001110708,0.00661992,-0.010538568,0.016493434,0.014720562,0.040104912,0.005022014,0.003251516,0.031941539
2008_3,-0.080111734,-0.100303633,-0.094036471,-0.1021147,-0.064022644,-0.076746957,-0.049334652,-0.06602589,-0.087804882,-0.089623174
