Date, TA125
01-01-20,1620.205
03-12-19,1607.55
12-11-19,1597.315
03-10-19,1547.7
03-09-19,1500.545
15-08-19,1488.02
18-07-19,1487.87
02-06-19,1450.415
13-05-19,1444.33
01-04-19,1456.39
25-03-19,1418.725
10-02-19,1423.31
03-01-19,1366.66
24-12-18,1389.35
01-11-18,1465.175
25-10-18,1458.725
13-09-18,1485.415
15-08-18,1448.29
02-07-18,1384.68
28-06-18,1377.715
08-05-18,1348.25
04-04-18,1310.345
25-03-18,1331.545
11-02-18,1367.18
01-01-18,1389.88
07-12-17,1341.105
15-11-17,1306.805
01-10-17,1307.145
03-09-17,1277.135
10-08-17,1265.78
06-07-17,1302.245
12-06-17,1290.67
03-05-17,1285.51
13-04-17,1259.72
27-03-17,1267.4
01-02-17,1269.085
23-01-17,1261.45
04-12-16,1271.35
03-11-16,1243.365
31-10-16,1248.62
13-09-16,1268.57
02-08-16,1280.41
03-07-16,1245.18
27-06-16,1227.515
15-05-16,1232.655
10-04-16,1269.62
01-03-16,1260.165
11-02-16,1225.225
20-01-16,1279.32
14-12-15,1321.405
15-11-15,1344.3
01-10-15,1333.18
30-09-15,1352.025
24-08-15,1432.065
08-07-15,1447.91
29-06-15,1442.825
06-05-15,1449.61
01-04-15,1450.435
01-03-15,1382.73
01-02-15,1305.55
29-01-15,1283.275
30-12-14,1302.02
02-11-14,1294.07
30-10-14,1296.42
01-09-14,1286.735
10-08-14,1250.345
08-07-14,1245.13
26-06-14,1260.575
07-05-14,1251.175
30-04-14,1275.84
03-03-14,1270.285
03-02-14,1226.82
26-01-14,1222.13
15-12-13,1207.59
03-11-13,1191.065
03-10-13,1159.685
08-09-13,1108.305
27-08-13,1083.68
01-07-13,1094.105
25-06-13,1090.62
12-05-13,1092.78
21-04-13,1088.165
03-03-13,1099.235
03-02-13,1075.625
31-01-13,1066.335
25-12-12,1072.115
15-11-12,1068.995
02-10-12,1073.67
06-09-12,1021.97
13-08-12,985.96
23-07-12,981.525
03-06-12,982.67
23-05-12,1016.49
15-04-12,1046.095
06-03-12,1019.37
28-02-12,1000.575
01-01-12,1005.31
12-12-11,987.175
24-11-11,976.9
04-10-11,989.57
12-09-11,957.745
10-08-11,1032.36
31-07-11,1132.23
15-06-11,1119.05
25-05-11,1153.1
28-04-11,1208.46
15-03-11,1171.3
24-02-11,1205.03
30-01-11,1220.435
01-12-10,1189.095
14-11-10,1154.78
07-10-10,1147.115
01-09-10,1090.905
01-08-10,1051.79
01-07-10,1012.05
30-06-10,1024.29
25-05-10,1056.73
29-04-10,1129.315
01-03-10,1126.625
08-02-10,1081.44
31-01-10,1083.42
01-12-09,1036.355
03-11-09,969.835
01-10-09,958.81
14-09-09,909.95
17-08-09,894.645
12-07-09,828.805
18-06-09,798.755
03-05-09,776.62
01-04-09,705.695
08-03-09,628.4
24-02-09,618.21
01-01-09,591.165
28-12-08,584.48
23-11-08,611.315
28-10-08,716.695
18-09-08,838.28
13-08-08,932.76
16-07-08,939.41
29-06-08,1013.675
01-05-08,1013.05
01-04-08,973.42
17-03-08,959.395
10-02-08,1014.685
28-01-08,1078.265
17-12-07,1153.56
22-11-07,1148.9
01-10-07,1149.645
09-09-07,1063.97
16-08-07,1055.525
29-07-07,1111.685
13-06-07,1108.4
01-05-07,1092.615
01-04-07,1034.31
18-03-07,969.595
01-02-07,981.755
10-01-07,939.425
31-12-06,935.23
02-11-06,920.425
03-10-06,880.11
07-09-06,822.29
10-08-06,816.36
13-07-06,802.64
29-06-06,832.55
25-05-06,892.125
02-04-06,856.055
01-03-06,844.775
23-02-06,827.685
05-01-06,847.37
01-12-05,812.175
16-11-05,772.195
19-10-05,750.975
01-09-05,734.33
07-08-05,703.68
07-07-05,675.66
26-06-05,677.025
01-05-05,688.15
04-04-05,668.535
24-03-05,673.425
23-02-05,664.24
05-01-05,644.48
01-12-04,612.68
01-11-04,574.35
18-10-04,557.44
01-09-04,558.195
16-08-04,548.92
29-07-04,586.665
01-06-04,583.41
17-05-04,563.28
01-04-04,576.485
28-03-04,570.045
04-02-04,561.455
04-01-04,558.95
08-12-03,510.105
02-11-03,492.01
01-10-03,455.445
11-09-03,423.985
10-08-03,414.17
31-07-03,441.825
10-06-03,435.76
21-05-03,409.83
01-04-03,367.72
02-03-03,337.665
13-02-03,313.64
22-01-03,323.7
31-12-02,352.05
04-11-02,340.505
31-10-02,330.035
30-09-02,350.285
14-08-02,360.235
03-07-02,358.39
23-06-02,359.6
01-05-02,371.875
28-04-02,375.88
31-03-02,397.455

